0,T,70,ari
1,CB,38,ari
2,LB,58,ari
3,S,36,ari
4,T,60,ari
5,CB,23,ari
6,S,41,ari
7,S,33,ari
8,QB,9,ari
9,LS,46,ari
10,S,20,ari
11,LB,57,ari
12,T,75,ari
13,C,64,ari
14,FB,32,ari
15,WR,12,ari
16,T,79,ari
17,TE,81,ari
18,K,4,ari
19,LB,54,ari
20,WR,15,ari
21,RB,29,ari
22,WR,11,ari
23,CB,30,ari
24,LB,92,ari
25,QB,7,ari
26,LB,44,ari
27,G,75,ari
28,K,5,ari
29,G,78,ari
30,TE,84,ari
31,NT,95,ari
32,LB,51,ari
33,G,69,ari
34,TE,85,ari
35,T,74,ari
36,G,76,ari
37,RB,31,ari
38,CB,27,ari
39,DE,55,ari
40,CB,25,ari
41,WR,13,ari
42,P,2,ari
43,RB,22,ari
44,DE,94,ari
45,DE,91,ari
46,K,1,ari
47,DE,56,ari
48,C,62,ari
49,WR,14,ari
50,CB,39,ari
51,DT,90,ari
52,DE,97,ari
53,G,63,ari
54,DT,98,ari
55,CB,21,ari
56,TE,82,ari
57,DT,72,ari
58,S,35,ari
59,T,67,ari
60,LB,43,ari
61,QB,3,ari
62,TE,86,ari
63,WR,16,ari
64,T,71,ari
65,DT,97,ari
66,DE,96,ari
67,DT,65,ari
68,CB,28,ari
69,WR,17,ari
70,LB,47,ari
71,DT,96,ari
72,T,68,ari
73,LB,59,ari
74,T,73,ari
75,CB,26,ari
76,WR,10,ari
